ID,Age,Education,Marital_Status,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,TotalAmountSpent,TotalNumPurchases,AvgCostperCart,AcceptedCmpTotal,Household,Month,DaysSinceJoin
5524,0.3786407766990291,0.5,0.0,0.08483222445468436,0.0,0.0,0.5858585858585859,0.4253181513730743,1.0,0.9820143884892086,1.0,1.0,0.6956521739130435,0.5,0.6666666666666666,1.0,0.3076923076923077,0.5384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6433524569718134,0.7710843373493976,0.5595805926770591,0.0,0.0,0.2727272727272727,0.9134524929444968
2174,0.4077669902912621,0.5,0.0,0.06709517908490441,0.5,0.5,0.38383838383838387,0.007367716008037508,0.012345679012345678,0.01079136690647482,0.016597510373443983,0.012345679012345678,0.04743083003952569,0.3333333333333333,0.08333333333333333,0.1,0.15384615384615385,0.38461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008780244449987528,0.26506024096385544,0.024697195143997444,0.0,0.5,0.6363636363636364,0.1175917215428034
4141,0.30097087378640774,0.5,1.0,0.10509733267562592,0.0,0.0,0.26262626262626265,0.2853315472203617,0.6049382716049383,0.22841726618705038,0.921161825726141,0.25925925925925924,0.3320158102766798,0.16666666666666666,0.6666666666666666,0.2,0.7692307692307693,0.3076923076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30770765777001746,0.6024096385542169,0.3427570190930455,0.0,0.25,0.6363636363636364,0.4440263405456256
6182,0.11650485436893204,0.5,1.0,0.03747127543101893,0.5,0.0,0.26262626262626265,0.007367716008037508,0.04938271604938271,0.03597122302158273,0.08298755186721991,0.037037037037037035,0.03952569169960474,0.3333333333333333,0.16666666666666666,0.0,0.3076923076923077,0.46153846153846156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01915689698179097,0.3373493975903615,0.03960451113181571,0.0,0.5,0.8181818181818182,0.06114769520225777
5324,0.14563106796116504,1.0,1.0,0.08506532959563025,0.5,0.0,0.9494949494949496,0.115874079035499,0.5308641975308641,0.21223021582733814,0.3817427385892116,0.3333333333333333,0.11857707509881422,0.8333333333333333,0.41666666666666663,0.30000000000000004,0.46153846153846156,0.38461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16642554252930905,0.5783132530120483,0.1930163674542142,0.0,0.5,0.0,0.30197554092191914
7446,0.2815533980582524,1.0,1.0,0.09141180504589916,0.0,0.5,0.16161616161616163,0.348292029470864,0.5185185185185185,0.1762589928057554,0.0,0.5185185185185185,0.11067193675889328,0.3333333333333333,0.5,0.4,0.7692307692307693,0.46153846153846156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28376153654277875,0.674698795180723,0.28190402024725003,0.0,0.5,0.7272727272727273,0.42615239887111955
965,0.24271844660194175,0.5,0.0,0.08106795240444194,0.0,0.5,0.3434343434343435,0.15740120562625587,0.8024691358024691,0.2949640287769784,0.4149377593360996,0.6049382716049383,0.2134387351778656,0.6666666666666666,0.5833333333333333,0.30000000000000004,0.5384615384615385,0.46153846153846156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23347468196557744,0.6506024096385542,0.24051953108703814,0.0,0.25,0.9090909090909091,0.7083725305738476
6177,0.10679611650485438,1.0,1.0,0.04770985478301671,0.5,0.0,0.32323232323232326,0.050904219691895514,0.12345679012345678,0.10071942446043167,0.024896265560165977,0.012345679012345678,0.1818181818181818,0.3333333333333333,0.3333333333333333,0.0,0.3076923076923077,0.6153846153846154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06545273135445248,0.43373493975903615,0.10190374212568314,0.0,0.5,0.6363636363636364,0.4590780809031044
4855,0.21359223300970875,1.0,1.0,0.0430432402516934,0.5,0.0,0.19191919191919193,0.009377093101138647,0.0,0.04316546762589928,0.024896265560165977,0.037037037037037035,0.015810276679841896,0.16666666666666666,0.25,0.0,0.15384615384615385,0.6923076923076923,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01636318283861312,0.3614457831325301,0.03159461000403276,0.0,0.5,0.4545454545454545,0.5155221072436501
5899,0.4466019417475728,1.0,1.0,0.005892296401458184,0.5,0.5,0.686868686868687,0.018754186202277295,0.0,0.01079136690647482,0.008298755186721992,0.012345679012345678,0.10276679841897232,0.16666666666666666,0.08333333333333333,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017560488899975055,0.5301204819277109,0.02224972535495265,0.25,0.75,0.1818181818181818,0.2521166509877705
